Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,,TOTAL HR ASSLEEP,TOTAL HR IN BED,,TIME IN BETWEEN,,RECOMMENDED SLEEPING,,MINIMUM BED TIME,1.016666667,
1503960366,4/12/2016 0:00,1,327,346,,5.45,5.766666667,,19,,1,,MAXIMUM BED TIME (HRS),16.01666667,
1503960366,4/13/2016 0:00,2,384,407,,6.4,6.783333333,,23,,1,,MAXIMUM SLEEP TIME (HRS),13,
1503960366,4/15/2016 0:00,1,412,442,,6.866666667,7.366666667,,30,,1,,MINIMUM SLEEP TIME (HRS),1,
1503960366,4/16/2016 0:00,2,340,367,,5.666666667,6.116666667,,27,,1,,AVERAGE SLEEP TIME (HRS),7,
1503960366,4/17/2016 0:00,1,700,712,,11.66666667,11.86666667,,12,,0,,AVERAGE BED TIME (HRS),8,
1503960366,4/19/2016 0:00,1,304,320,,5.066666667,5.333333333,,16,,1,,TOTAL PERSON NOT TO SLEEP RECOMMENDED HOURS:,296,71.67070218
1503960366,4/20/2016 0:00,1,360,377,,6,6.283333333,,17,,1,,TOTAL PERSON TO SLEEP RECOMMENDED HOURS,117,28.32929782
1503960366,4/21/2016 0:00,1,325,364,,5.416666667,6.066666667,,39,,1,,,,
1503960366,4/23/2016 0:00,1,361,384,,6.016666667,6.4,,23,,1,,,,
1503960366,4/24/2016 0:00,1,430,449,,7.166666667,7.483333333,,19,,1,,,,
1503960366,4/25/2016 0:00,1,277,323,,4.616666667,5.383333333,,46,,1,,,,
1503960366,4/26/2016 0:00,1,245,274,,4.083333333,4.566666667,,29,,1,,,,
1503960366,4/28/2016 0:00,1,366,393,,6.1,6.55,,27,,1,,,,
1503960366,4/29/2016 0:00,1,341,354,,5.683333333,5.9,,13,,1,,,,
1503960366,4/30/2016 0:00,1,404,425,,6.733333333,7.083333333,,21,,1,,,,
1503960366,5/1/2016 0:00,1,369,396,,6.15,6.6,,27,,1,,,,
1503960366,5/2/2016 0:00,1,277,309,,4.616666667,5.15,,32,,1,,,,
1503960366,5/3/2016 0:00,1,273,296,,4.55,4.933333333,,23,,1,,,,
1503960366,5/5/2016 0:00,1,247,264,,4.116666667,4.4,,17,,1,,,,
1503960366,5/6/2016 0:00,1,334,367,,5.566666667,6.116666667,,33,,1,,,,
1503960366,5/7/2016 0:00,1,331,349,,5.516666667,5.816666667,,18,,1,,,,
1503960366,5/8/2016 0:00,1,594,611,,9.9,10.18333333,,17,,0,,,,
1503960366,5/9/2016 0:00,1,338,342,,5.633333333,5.7,,4,,1,,,,
1503960366,5/10/2016 0:00,1,383,403,,6.383333333,6.716666667,,20,,1,,,,
1503960366,5/11/2016 0:00,1,285,306,,4.75,5.1,,21,,1,,,,
1644430081,4/29/2016 0:00,1,119,127,,1.983333333,2.116666667,,8,,1,,,,
1644430081,4/30/2016 0:00,1,124,142,,2.066666667,2.366666667,,18,,1,,,,
1644430081,5/2/2016 0:00,1,796,961,,13.26666667,16.01666667,,165,,0,,,,
1644430081,5/8/2016 0:00,1,137,154,,2.283333333,2.566666667,,17,,1,,,,
1844505072,4/15/2016 0:00,1,644,961,,10.73333333,16.01666667,,317,,0,,,,
1844505072,4/30/2016 0:00,1,722,961,,12.03333333,16.01666667,,239,,0,,,,
1844505072,5/1/2016 0:00,1,590,961,,9.833333333,16.01666667,,371,,0,,,,
1927972279,4/12/2016 0:00,3,750,775,,12.5,12.91666667,,25,,0,,,,
1927972279,4/13/2016 0:00,1,398,422,,6.633333333,7.033333333,,24,,1,,,,
1927972279,4/15/2016 0:00,2,475,499,,7.916666667,8.316666667,,24,,1,,,,
1927972279,4/26/2016 0:00,1,296,315,,4.933333333,5.25,,19,,1,,,,
1927972279,4/28/2016 0:00,1,166,178,,2.766666667,2.966666667,,12,,1,,,,
2026352035,4/12/2016 0:00,1,503,546,,8.383333333,9.1,,43,,0,,,,
2026352035,4/13/2016 0:00,1,531,565,,8.85,9.416666667,,34,,0,,,,
2026352035,4/14/2016 0:00,1,545,568,,9.083333333,9.466666667,,23,,0,,,,
2026352035,4/15/2016 0:00,1,523,573,,8.716666667,9.55,,50,,0,,,,
2026352035,4/16/2016 0:00,1,524,567,,8.733333333,9.45,,43,,0,,,,
2026352035,4/17/2016 0:00,1,437,498,,7.283333333,8.3,,61,,1,,,,
2026352035,4/19/2016 0:00,1,498,540,,8.3,9,,42,,0,,,,
2026352035,4/20/2016 0:00,1,461,510,,7.683333333,8.5,,49,,1,,,,
